position,SA_spikes,RA_spikes,SA_activated,RA_activated,SA_mean_firing_frequency,RA_mean_firing_frequency,SA_peak_firing_frequency,RA_peak_firing_frequency,SA_first_spike_time,RA_first_spike_time
x27.440675196366236_y17.879734159310487_d4,0,0,0,0,0,0.0,0,0,0,0
x31.178184839298616_y9.609542682317496_d4,0,0,0,0,0.0,0,0,0,0,0
x48.18313802505146_y9.586037970644442_d4,0,0,0,0,0,0.0,0,0,0,0
x28.402228054696614_y23.139915957316525_d4,0,0,0,0,0.0,0,0,0,0,0
x32.40859360255986_y9.206038496013699_d4,0,0,0,0,0,0.0,0,0,0,0
x48.9309171116382_y19.97896410541809_d4,0,0,0,0,0,0.0,0,0,0,0
x36.03163273629584_y14.550494801877678_d4,0,0,0,0,0,0.0,0,0,0,0
x26.092416087503583_y10.36654849976309_d4,0,0,0,0,0.0,0,0,0,0,0
x7.4837433591841585_y5.558034706289691_d4,0,0,0,0,0.0,0,0,0,0,0
x22.807516610827427_y14.210848721716212_d4,0,0,0,0,0.0,0,0,0,0,0
x34.091014955174174_y8.98769751434465_d4,0,0,0,0,0.0,0,0,0,0,0
x17.907608348476252_y18.767153530461407_d4,0,0,0,0,0,0.0,0,0,0,0
x4.964017517948694_y24.24522669366872_d4,0,0,0,0,0,0.0,0,0,0,0
x28.509838520893982_y10.96503783655801_d4,0,0,0,0,0,0.0,0,0,0,0
x32.63951585027454_y15.876471840089096_d4,0,0,0,0,0,0.0,0,0,0,0
x12.664580126989106_y11.657769321407658_d4,0,0,0,0,0.0,0,0,0,0,0
x33.73761611295104_y7.9300435517324015_d4,0,0,0,0,0,0.0,0,0,0,0
x4.804920394698153_y24.411486625334895_d4,0,0,0,0,0,0.0,0,0,0,0
x33.126343347502214_y0.33929089030274584_d4,0,0,0,0,0,0.0,0,0,0,0
x2.7857346850803157_y11.278980363023203_d4,0,0,0,0,0.0,0,0,0,0,0
x14.140348128820479_y3.0049140303292226_d4,0,0,0,0,0.0,0,0,0,0,0
x28.259443330243766_y21.627564032634623_d4,0,0,0,0,0,0.0,0,0,0,0
x4.697025537922084_y14.398662388904482_d4,0,0,0,0,0,0.0,0,0,0,0
x34.43305914028852_y22.011897231314887_d4,0,0,0,0,0,0.0,0,0,0,0
x33.37051899818408_y3.2949465601098042_d4,0,0,0,0,0,0.0,0,0,0,0
x36.75970110612975_y24.054713627935957_d4,0,0,0,0,0.0,0,0,0,0,0
x13.236508214172481_y9.945518818965727_d4,0,0,0,0,0,0.0,0,0,0,0
x41.44700146086816_y0.11738690481367664_d4,0,0,0,0,0,0.0,0,0,0,0
x44.80191937545385_y15.973026905782822_d4,0,0,0,0,0,0.0,0,0,0,0
x22.356268930881367_y21.160216811778195_d4,0,0,0,0,0,0.0,0,0,0,0
x38.35118517793634_y10.295503474121118_d4,0,0,0,0,0,0.0,0,0,0,0
x29.063643631792935_y22.04338404637132_d4,0,0,0,0,0,0.0,0,0,0,0
x32.98342060347064_y13.330156347916205_d4,0,0,0,0,0.0,0,0,0,0,0
x21.192752427908985_y15.159830353198108_d4,0,0,0,0,0.0,0,0,0,0,0
x35.80372656143216_y7.199775109082013_d4,0,0,0,0,0.0,0,0,0,0,0
x21.43843504728831_y3.386851605561256_d4,0,0,0,0,0.0,0,0,0,0,0
x16.049862068674877_y5.53156712959457_d4,0,0,0,0,0.0,0,0,0,0,0
x29.54363806240866_y14.35813122123947_d4,0,0,0,0,0,0.0,0,0,0,0
x21.79324626328134_y22.298083875391804_d4,0,0,0,0,0,0.0,0,0,0,0
x4.978454455540554_y8.807791530013326_d4,0,0,0,0,0,0.0,0,0,0,0
x7.472415232899687_y21.703151434205356_d4,0,0,0,0,0.0,0,0,0,0,0
x6.190999142472076_y21.20020573305586_d4,0,0,0,0,0,0.0,0,0,0,0
x6.998629274660084_y0.8305596316544317_d4,0,0,0,0,0,0.0,0,0,0,0
x36.10277997351739_y21.65955814821573_d4,0,0,0,0,0,0.0,0,0,0,0
x11.537116770339784_y19.12279247492143_d4,0,0,0,0,0,0.0,0,0,0,0
x8.581483863072027_y13.025915155103233_d4,0,0,0,0,0.0,0,0,0,0,0
x8.974513045892785_y4.274664967078287_d4,0,19,0,1,0,10.81883574125877,0,125.0,0,28.0
x17.267584034845136_y23.20203233663977_d4,0,0,0,0,0,0.0,0,0,0,0
x39.18221226509442_y12.500657443232535_d4,0,0,0,0,0.0,0,0,0,0,0
x11.89464106872543_y23.355349948119844_d4,0,0,0,0,0,0.0,0,0,0,0
x29.49549881772855_y18.253050737919242_d4,0,0,0,0,0.0,0,0,0,0,0
x10.61952494451543_y5.561080609670468_d4,25,0,1,0,16.17064257535411,0,50.00000000000001,0,65.0,0
x36.97753975246438_y12.261470215439177_d4,0,0,0,0,0.0,0,0,0,0,0
x21.72083127790604_y7.7948970498525645_d4,0,0,0,0,0,0.0,0,0,0,0
x27.124938750519874_y21.36533950776786_d4,0,0,0,0,0,0.0,0,0,0,0
x22.684842227802264_y13.414480277718056_d4,0,0,0,0,0,0.0,0,0,0,0
x23.474859154558548_y11.400365580446682_d4,0,0,0,0,0,0.0,0,0,0,0
x1.032549973286434_y18.959466345903536_d4,0,0,0,0,0.0,0,0,0,0,0
x43.632532772369764_y6.838550870390894_d4,0,0,0,0,0,0.0,0,0,0,0
x32.28922992509496_y8.117074301661633_d4,0,0,0,0,0,0.0,0,0,0,0
x33.99397282033848_y11.40324430307155_d4,0,0,0,0,0,0.0,0,0,0,0
x47.36852952444621_y18.271395169253946_d4,0,0,0,0,0.0,0,0,0,0,0
x47.87254278294768_y11.79378927232003_d4,0,0,0,0,0,0.0,0,0,0,0
x36.52210882833972_y16.15661093286712_d4,0,0,0,0,0.0,0,0,0,0,0
x40.37901344293937_y18.676986753480854_d4,0,0,0,0,0,0.0,0,0,0,0
x6.603405317257666_y17.921492029814843_d4,0,0,0,0,0.0,0,0,0,0,0
x17.780636892497782_y23.510798631320327_d4,0,0,0,0,0,0.0,0,0,0,0
x42.02142662677162_y5.121644054511143_d4,0,0,0,0,0.0,0,0,0,0,0
x45.18598698729667_y2.0855608860504637_d4,0,0,0,0,0,0.0,0,0,0,0
x2.280731857544321_y5.2289257370210285_d4,0,0,0,0,0.0,0,0,0,0,0
x5.014697113274891_y0.4107407397868551_d4,0,0,0,0,0,0.0,0,0,0,0
x41.65190487546954_y24.60823585870305_d4,0,0,0,0,0,0.0,0,0,0,0
x3.1977633060490565_y12.140689898365572_d4,0,0,0,0,0,0.0,0,0,0,0
x16.90794759184228_y24.039253863537464_d4,0,0,0,0,0.0,0,0,0,0,0
x24.907011275373502_y21.113751986798558_d4,0,0,0,0,0.0,0,0,0,0,0
x24.613412075257934_y17.889028936475995_d4,0,0,0,0,0,0.0,0,0,0,0
x17.36167589661098_y3.7035215237041257_d4,0,0,0,0,0,0.0,0,0,0,0
x37.67848033360815_y0.10120265921065852_d4,0,0,0,0,0.0,0,0,0,0,0
x21.411191605820406_y7.446045463876408_d4,0,0,0,0,0.0,0,0,0,0,0
x11.215851448736963_y2.446112112350851_d4,0,0,0,0,0,0.0,0,0,0,0
x17.180275157404935_y19.7218194429866_d4,0,0,0,0,0.0,0,0,0,0,0
x47.64353361934213_y0.3487098983353837_d4,0,0,0,0,0,0.0,0,0,0,0
x15.091543796375827_y19.380494436665277_d4,0,0,0,0,0,0.0,0,0,0,0
x12.268360492642238_y10.51348666700246_d4,0,0,0,0,0,0.0,0,0,0,0
x2.7687160210598973_y7.539965862023562_d4,0,0,0,0,0.0,0,0,0,0,0
x18.95168860519091_y2.4137402456864523_d4,0,0,0,0,0.0,0,0,0,0,0
x44.14299990218955_y6.265568004847136_d4,0,0,0,0,0,0.0,0,0,0,0
x26.229631037742397_y11.050382944871753_d4,0,0,0,0,0,0.0,0,0,0,0
x18.996347795006024_y4.528774043422576_d4,0,0,0,0,0,0.0,0,0,0,0
x33.00199311114745_y5.164865176881736_d4,0,0,0,0,0,0.0,0,0,0,0
x18.69065689662807_y14.689990879909725_d4,0,0,0,0,0.0,0,0,0,0,0
x39.9897942285309_y1.9239111746658182_d4,0,0,0,0,0,0.0,0,0,0,0
x6.6732604790681105_y19.479799356284712_d4,0,0,0,0,0,0.0,0,0,0,0
x28.877147441568773_y23.985833520835627_d4,0,0,0,0,0,0.0,0,0,0,0
x21.52012197540306_y12.750421307956255_d4,0,0,0,0,0,0.0,0,0,0,0
x13.879804886588303_y3.221514136658005_d4,0,0,0,0,0.0,0,0,0,0,0
x9.356544587542237_y22.599598873205924_d4,0,0,0,0,0,0.0,0,0,0,0
x45.527236119673184_y2.0742936914048995_d4,0,0,0,0,0,0.0,0,0,0,0
x4.6729728222058675_y10.65764700808097_d4,0,0,0,0,0,0.0,0,0,0,0
x35.81220871090093_y0.6767246194297527_d4,0,0,0,0,0,0.0,0,0,0,0
x8.026941124262821_y19.90978686293329_d4,0,0,0,0,0,0.0,0,0,0,0
x25.17137139699763_y23.843034516595797_d4,0,0,0,0,0,0.0,0,0,0,0
x47.59372384163681_y14.393779051121811_d4,0,0,0,0,0,0.0,0,0,0,0
x49.62147616428279_y2.125026687870632_d4,0,0,0,0,0.0,0,0,0,0,0
x36.384817156582436_y18.555949448292072_d4,0,0,0,0,0.0,0,0,0,0,0
x19.921712930983855_y1.5678238005836427_d4,0,0,0,0,0.0,0,0,0,0,0
x17.768442423596483_y8.917672260063572_d4,0,0,0,0,0.0,0,0,0,0,0
x42.26788409101199_y13.406863609196881_d4,0,0,0,0,0,0.0,0,0,0,0
x43.47442652733161_y11.354059922688794_d4,0,0,0,0,0.0,0,0,0,0,0
x11.858664681935572_y20.98782417049158_d4,0,0,0,0,0,0.0,0,0,0,0
x21.43978612491189_y1.7018518493680053_d4,0,0,0,0,0.0,0,0,0,0,0
x29.007585813548857_y19.277226204249118_d4,0,0,0,0,0.0,0,0,0,0,0
x49.08198402020344_y6.116285356554426_d4,0,0,0,0,0.0,0,0,0,0,0
x20.452704768653078_y4.073860651165134_d4,0,0,0,0,0,0.0,0,0,0,0
x32.001207764971916_y9.202560049538352_d4,0,0,0,0,0.0,0,0,0,0,0
x14.419924866574696_y6.03546550191435_d4,0,0,0,0,0,0.0,0,0,0,0
x27.73439043307095_y7.176287997990744_d4,0,0,0,0,0,0.0,0,0,0,0
x31.69654781589624_y23.17197723636562_d4,0,0,0,0,0,0.0,0,0,0,0
x22.357192024791818_y24.2225760274859_d4,0,0,0,0,0.0,0,0,0,0,0
x2.3003655443648463_y5.815674820744138_d4,0,0,0,0,0.0,0,0,0,0,0
x12.861674273569667_y9.543995180907045_d4,0,0,0,0,0,0.0,0,0,0,0
x14.827813253201494_y24.800281085361853_d4,0,0,0,0,0.0,0,0,0,0,0
x47.547630552769704_y5.8355063867024075_d4,0,0,0,0,0,0.0,0,0,0,0
x45.836350966509094_y2.845416009746529_d4,0,0,0,0,0,0.0,0,0,0,0
x18.95284480387143_y9.357404583022902_d4,0,0,0,0,0,0.0,0,0,0,0
x39.77673730695736_y12.598340296985889_d4,0,0,0,0,0.0,0,0,0,0,0
x41.95945611293262_y5.943545650390969_d4,0,0,0,0,0,0.0,0,0,0,0
x31.699884887233036_y21.68223513656162_d4,0,0,0,0,0,0.0,0,0,0,0
x1.230997852822785_y3.720732586079381_d4,0,0,0,0,0.0,0,0,0,0,0
x22.591084133487982_y1.771744454605209_d4,0,0,0,0,0.0,0,0,0,0,0
x22.375793538051237_y17.401929224150127_d4,0,0,0,0,0.0,0,0,0,0,0
x19.140402957892704_y22.38464710720525_d4,0,0,0,0,0,0.0,0,0,0,0
x48.978662593224485_y3.7119521931242963_d4,0,0,0,0,0.0,0,0,0,0,0
x20.336667291787414_y13.801956917299272_d4,0,0,0,0,0.0,0,0,0,0,0
x48.50375369255004_y0.6374337241823708_d4,0,0,0,0,0,0.0,0,0,0,0
x15.51904129899057_y9.325871597018686_d4,0,0,0,0,0,0.0,0,0,0,0
x45.07414931567107_y8.248391271780338_d4,0,0,0,0,0,0.0,0,0,0,0
x16.675373289563765_y23.10396916551909_d4,0,0,0,0,0,0.0,0,0,0,0
x17.423799451674853_y18.502438140442063_d4,0,0,0,0,0,0.0,0,0,0,0
x33.812124113873146_y21.980869075783176_d4,0,0,0,0,0,0.0,0,0,0,0
x47.23537404482379_y22.321556174182085_d4,0,0,0,0,0,0.0,0,0,0,0
x18.633953491049777_y13.263430364069546_d4,0,0,0,0,0,0.0,0,0,0,0
x42.81514884167733_y15.876419974553738_d4,0,0,0,0,0.0,0,0,0,0,0
x25.135477038451405_y3.8406884343015397_d4,0,0,0,0,0.0,0,0,0,0,0
x28.857012201017092_y17.38175014761715_d4,0,0,0,0,0,0.0,0,0,0,0
x31.111552941989746_y6.976698705714959_d4,0,0,0,0,0.0,0,0,0,0,0
x19.443371520453397_y5.677099273949238_d4,0,0,0,0,0,0.0,0,0,0,0
x29.43698049851441_y24.069257996006062_d4,0,0,0,0,0.0,0,0,0,0,0
x22.033304651706903_y17.127299776264874_d4,0,0,0,0,0,0.0,0,0,0,0
x39.54200816137025_y2.431073140810616_d4,0,0,0,0,0,0.0,0,0,0,0
x19.15514457745716_y20.16673313284027_d4,0,0,0,0,0,0.0,0,0,0,0
x26.955911749338608_y22.18162098656609_d4,0,0,0,0,0,0.0,0,0,0,0
x6.673073546746721_y24.51450331968206_d4,0,0,0,0,0,0.0,0,0,0,0
x27.10647267899692_y3.022984028478351_d4,0,0,0,0,0,0.0,0,0,0,0
x48.414320514714866_y22.99457026945396_d4,0,0,0,0,0.0,0,0,0,0,0
x15.824395935660107_y6.163369855311268_d4,0,0,0,0,0,0.0,0,0,0,0
x29.044363707389852_y3.646753851532472_d4,0,0,0,0,0.0,0,0,0,0,0
x8.023382194380051_y22.157616652164_d4,0,0,0,0,0,0.0,0,0,0,0
x3.8243384515142695_y17.411578616312514_d4,0,0,0,0,0.0,0,0,0,0,0
x25.880605005129624_y11.866699700752822_d4,0,0,0,0,0.0,0,0,0,0,0
x44.903117860686756_y16.814557782413033_d4,0,0,0,0,0,0.0,0,0,0,0
x16.02826639933968_y0.07748852710967036_d4,0,0,0,0,0,0.0,0,0,0,0
x0.2594813628222503_y24.255545097339596_d4,0,0,0,0,0,0.0,0,0,0,0
x34.01743330075008_y1.5801904584657662_d4,0,0,0,0,0,0.0,0,0,0,0
x20.160901652276504_y15.826550170483678_d4,0,0,0,0,0,0.0,0,0,0,0
x18.396379026852067_y11.412997281566383_d4,0,0,0,0,0.0,0,0,0,0,0
x41.08592817901688_y10.069168991829594_d4,0,0,0,0,0.0,0,0,0,0,0
x29.63901353383043_y8.862651343793413_d4,0,0,0,0,0,0.0,0,0,0,0
x17.59464980965213_y18.03516669899881_d4,0,0,0,0,0,0.0,0,0,0,0
x13.33484388002219_y14.101609008348296_d4,0,0,0,0,0,0.0,0,0,0,0
x13.611468052677129_y2.051443634123648_d4,0,0,0,0,0,0.0,0,0,0,0
x12.095085210074242_y10.807037029532465_d4,0,0,0,0,0,0.0,0,0,0,0
x8.970503493674443_y10.831968321897179_d4,0,0,0,0,0.0,0,0,0,0,0
x49.1713121130321_y9.995042305613147_d4,0,0,0,0,0.0,0,0,0,0,0
x46.82340500704872_y23.519541481165284_d4,0,0,0,0,0.0,0,0,0,0,0
x38.24972237830402_y4.726566496633355_d4,0,0,0,0,0,0.0,0,0,0,0
x4.862899739382032_y12.444422695633545_d4,0,0,0,0,0,0.0,0,0,0,0
x8.451270306458063_y21.489520910490537_d4,0,0,0,0,0.0,0,0,0,0,0
x23.659502385494857_y11.993846754926956_d4,0,0,0,0,0,0.0,0,0,0,0
x21.18531767277364_y21.428122937614184_d4,0,0,0,0,0.0,0,0,0,0,0
x20.189637033366726_y9.995303500233268_d4,0,0,0,0,0,0.0,0,0,0,0
x18.737635245370747_y16.54018220865022_d4,0,0,0,0,0,0.0,0,0,0,0
x33.589715036132354_y8.102067287438175_d4,0,0,0,0,0.0,0,0,0,0,0
x42.83776235348242_y9.991684302536191_d4,0,0,0,0,0.0,0,0,0,0,0
x20.251780664847495_y10.134339571213902_d4,0,0,0,0,0.0,0,0,0,0,0
x36.86271212982387_y2.7446114515625175_d4,0,0,0,0,0,0.0,0,0,0,0
x1.481740906515061_y22.232182901966972_d4,0,0,0,0,0,0.0,0,0,0,0
x1.4595117424456627_y13.3729213731771_d4,0,0,0,0,0.0,0,0,0,0,0
x18.25499385300049_y4.7641728735017015_d4,0,0,0,0,0.0,0,0,0,0,0
x38.53372478588553_y18.01318793990015_d4,0,0,0,0,0,0.0,0,0,0,0
x45.55985807383639_y22.12379732288598_d4,0,0,0,0,0,0.0,0,0,0,0
x13.251984918224103_y1.653736552923868_d4,0,0,0,0,0.0,0,0,0,0,0
x26.86395126779039_y6.864376221112245_d4,0,0,0,0,0.0,0,0,0,0,0
x3.5205415567307163_y10.546112945493617_d4,0,0,0,0,0.0,0,0,0,0,0
x9.979807106005717_y10.824605157029518_d4,0,0,0,0,0,0.0,0,0,0,0
x1.447627451348027_y22.392282280255085_d4,0,0,0,0,0.0,0,0,0,0,0
x13.045224969052988_y12.39925738433674_d4,0,0,0,0,0,0.0,0,0,0,0
x34.53923880782648_y24.683718926849206_d4,0,0,0,0,0,0.0,0,0,0,0
x22.79492188284664_y16.058793734086517_d4,0,0,0,0,0.0,0,0,0,0,0
x4.874669210754262_y21.296342484165038_d4,0,0,0,0,0.0,0,0,0,0,0
x30.449430711038396_y14.47528016061834_d4,0,0,0,0,0.0,0,0,0,0,0
x44.094825154841615_y17.990503946057203_d4,0,0,0,0,0,0.0,0,0,0,0
x40.13460699483889_y20.909100687038258_d4,0,0,0,0,0.0,0,0,0,0,0
x26.038071862093027_y6.6801757965579664_d4,0,0,0,0,0,0.0,0,0,0,0
x42.93887341159511_y11.462579176661125_d4,0,0,0,0,0,0.0,0,0,0,0
x21.29729725472009_y2.347361715079288_d4,0,0,0,0,0,0.0,0,0,0,0
x44.03390615235398_y23.625669423509784_d4,0,0,0,0,0,0.0,0,0,0,0
x44.76725569596419_y1.6270620360746169_d4,0,0,0,0,0,0.0,0,0,0,0
x12.244473971004972_y5.411431523605245_d4,0,0,0,0,0.0,0,0,0,0,0
x36.0715055071103_y12.072290564532251_d4,0,0,0,0,0.0,0,0,0,0,0
x38.90857977251271_y21.105874038825604_d4,0,0,0,0,0.0,0,0,0,0,0
x15.041196287741842_y1.9742477346273684_d4,0,0,0,0,0,0.0,0,0,0,0
x39.10446886129628_y6.176130301385943_d4,0,0,0,0,0.0,0,0,0,0,0
x5.380885257479095_y14.205439841746125_d4,0,0,0,0,0.0,0,0,0,0,0
x46.76509429422231_y19.306639577426736_d4,0,0,0,0,0,0.0,0,0,0,0
x19.58984692823329_y6.054464853152136_d4,0,0,0,0,0.0,0,0,0,0,0
x1.9996400950358484_y15.992627651878175_d4,0,0,0,0,0.0,0,0,0,0,0
x35.25737703195399_y14.90162475202893_d4,0,0,0,0,0,0.0,0,0,0,0
x30.009660459139482_y16.35204828716203_d4,0,0,0,0,0.0,0,0,0,0,0
x31.08327182266289_y7.214248941292389_d4,0,0,0,0,0,0.0,0,0,0,0
x4.068585936886948_y8.050433394132794_d4,0,0,0,0,0,0.0,0,0,0,0
x21.270086267752735_y1.5888443709039608_d4,0,0,0,0,0.0,0,0,0,0,0
x36.31135915477106_y16.951485255300312_d4,0,0,0,0,0.0,0,0,0,0,0
x4.412411978616637_y15.055729422408644_d4,0,0,0,0,0,0.0,0,0,0,0
x7.957311847112142_y15.142798931756971_d4,0,0,0,0,0.0,0,0,0,0,0
x42.723001404651356_y13.865084724861859_d4,0,0,0,0,0.0,0,0,0,0,0
x4.003054667021683_y12.928431908206745_d4,0,0,0,0,0,0.0,0,0,0,0
x20.905460587400043_y4.32378385677891_d4,0,0,0,0,0.0,0,0,0,0,0
x27.295879823395225_y14.720292739995505_d4,0,0,0,0,0,0.0,0,0,0,0
x20.48631028153718_y9.337775353892091_d4,0,0,0,0,0,0.0,0,0,0,0
x48.64558716762012_y21.80756274706739_d4,0,0,0,0,0.0,0,0,0,0,0
x25.506399996696416_y3.1922160385167735_d4,0,0,0,0,0,0.0,0,0,0,0
x45.97537034529103_y17.76139398761229_d4,0,0,0,0,0.0,0,0,0,0,0
x29.279669056758777_y6.3406426938095395_d4,0,0,0,0,0.0,0,0,0,0,0
x14.141842608804145_y8.490776104154978_d4,0,0,0,0,0,0.0,0,0,0,0
x24.594611585417226_y22.474027305675794_d4,0,0,0,0,0.0,0,0,0,0,0
x13.320395111049294_y7.4566105222275025_d4,0,0,0,0,0,0.0,0,0,0,0
x29.368765401195596_y20.239834546398846_d4,0,0,0,0,0.0,0,0,0,0,0
x36.377349566576484_y7.247836239798885_d4,0,0,0,0,0,0.0,0,0,0,0
x12.104985414292797_y17.113818478683093_d4,0,0,0,0,0,0.0,0,0,0,0
x36.79469484038665_y3.5376621405475066_d4,0,0,0,0,0,0.0,0,0,0,0
x2.2617245042362955_y8.13242019123755_d4,0,0,0,0,0,0.0,0,0,0,0
x31.058462368352735_y12.454489144073586_d4,0,0,0,0,0,0.0,0,0,0,0
x38.15825037711409_y7.787151712308033_d4,0,0,0,0,0,0.0,0,0,0,0
x45.9273225595175_y3.0030045540868993_d4,0,0,0,0,0.0,0,0,0,0,0
x23.16720083782628_y6.615488242243078_d4,0,0,0,0,0,0.0,0,0,0,0
x5.794923441293987_y22.496668575000754_d4,0,0,0,0,0.0,0,0,0,0,0
x4.369134491850008_y9.66118515720044_d4,0,0,0,0,0,0.0,0,0,0,0
